STATE,CASES,DEATHS,ABBR,LAT,LONG
Alabama,5,0,AL,32.318231,-86.902298
Alaska,1,0,AK,63.588753,-154.493062
Arizona,9,0,AZ,34.048928,-111.093731
Arkansas,9,0,AR,35.20105,-91.831833
California,314,4,CA,36.778261,-119.417932
Colorado,77,1,CO,39.550051,-105.782067
Connecticut,12,0,CT,41.603221,-73.087749
Delaware,4,0,DE,38.910832,-75.52767
District of Columbia,10,0,DC,38.905985,-77.033418
Florida,71,3,FL,27.664827,-81.515754
Georgia,42,1,GA,32.157435,-82.907123
Hawaii,2,0,HI,19.898682,-155.665857
Idaho,1,0,ID,44.068202,-114.742041
Illinois,46,0,IL,40.633125,-89.398528
Indiana,12,0,IN,40.551217,-85.602364
Iowa,17,0,IA,41.878003,-93.097702
Kansas,6,1,KS,39.011902,-98.484246
Kentucky,11,0,KY,37.839333,-84.270018
Louisiana,36,0,LA,31.244823,-92.145024
Maine,3,0,ME,45.253783,-69.445469
Maryland,18,0,MD,39.045755,-76.641271
Massachusetts,123,0,MA,42.407211,-71.382437
Michigan,25,0,MI,44.314844,-85.602364
Minnesota,14,0,MN,46.729553,-94.6859
Mississippi,4,0,MS,32.354668,-89.398528
Missouri,5,0,MO,37.964253,-91.831833
Montana,4,0,MT,46.879682,-110.362566
Nebraska,28,0,NE,41.492537,-99.901813
Nevada,19,0,NV,38.80261,-116.419389
New Hampshire,7,0,NH,43.193852,-71.572395
New Jersey,51,1,NJ,40.058324,-74.405661
New Mexico,10,0,NM,34.97273,-105.032363
New York,421,0,NY,43.299428,-74.217933
North Carolina,17,0,NC,35.759573,-79.0193
North Dakota,1,0,ND,47.551493,-101.002012
Ohio,13,0,OH,40.417287,-82.907123
Oklahoma,3,0,OK,35.007752,-97.092877
Oregon,29,0,OR,43.804133,-120.554201
Pennsylvania,42,0,PA,41.203322,-77.194525
Puerto Rico,3,0,PR,18.220833,-66.590149
Rhode Island,14,0,RI,41.580095,-71.477429
South Carolina,13,0,SC,33.836081,-81.163725
South Dakota,9,1,SD,43.969515,-99.901813
Tennessee,26,0,TN,35.517491,-86.580447
Texas,51,0,TX,31.968599,-99.901813
Utah,5,0,UT,39.32098,-111.093731
Vermont,2,0,VT,44.558803,-72.577841
Virginia,30,0,VA,37.431573,-78.656894
Washington,510,37,WA,47.751074,-120.740139
West Virginia,0,0,WV,38.597626,-80.454903
Wisconsin,8,0,WI,43.78444,-88.787868
Wyoming,2,0,WY,43.075968,-107.290284